array_size,num_threads,bucket_capacity,random_time,distribute_time,sort_time,rewrite_time,total_time
4194304,4,1024,0.0065138292,0.1954574424,0.0793395539,0.0029120217,0.2791511664
4194304,4,4096,0.0064646631,0.1070684010,0.0935635702,0.0028169421,0.2045226076
4194304,4,16384,0.0064583472,0.1364955810,0.1079942086,0.0028170730,0.2479996764
4194304,4,65536,0.0065055816,0.3328206622,0.1226553597,0.0029109946,0.4595091411
4194304,8,16,0.0033461617,0.1387303795,0.0175060714,0.0032052566,0.1719967347
4194304,8,64,0.0033498535,0.1324186737,0.0249830910,0.0018971877,0.1647498806
4194304,8,256,0.0033361617,0.1064158087,0.0324435278,0.0015465224,0.1421647985
4194304,8,1024,0.0033636765,0.1379152750,0.0398283293,0.0014921580,0.1807019773
4194304,8,4096,0.0033445378,0.1555033566,0.0470211459,0.0014716017,0.2051721020
4194304,8,16384,0.0033500114,0.2038691248,0.0543102200,0.0014661545,0.2605483847
4194304,8,65536,0.0033478514,0.2665606259,0.0617131049,0.0014751708,0.3309444441
4194304,12,16,0.0041586887,0.1007272842,0.0119585663,0.0026319268,0.1281867273
4194304,12,64,0.0035437684,0.0986917869,0.0166184262,0.0013934724,0.1228985008
4194304,12,256,0.0035762088,0.0967410601,0.0216500413,0.0010607913,0.1215946824
4194304,12,1024,0.0037823115,0.1041688760,0.0264550211,0.0010090443,0.1331368509
4194304,12,4096,0.0043514706,0.1188007618,0.0312826482,0.0009884855,0.1522742946
4194304,12,16384,0.0040763323,0.1663629172,0.0370799632,0.0010052812,0.2054712983
4194304,12,65536,0.0040311188,0.2182961224,0.0461199774,0.0011226441,0.2667824713
16777216,1,16,0.1076827474,2.7285849344,0.5403192366,0.0597440936,3.3977694419
16777216,1,64,0.1019697111,1.9985493617,0.7931754086,0.0483847775,2.8557138826
16777216,1,256,0.1020277044,0.9386451217,1.0328433077,0.0454119782,2.0230590807
16777216,1,1024,0.1017951034,0.7593235316,1.2622495463,0.0447693508,2.0714905278
16777216,1,4096,0.1019933061,0.6069678701,1.4916634609,0.0445768837,2.1475244378
16777216,1,16384,0.1019271353,0.4968616369,1.7211866597,0.0444669145,2.2664708857
16777216,1,65536,0.1019907926,0.4401513952,1.9550719262,0.0445103593,2.4436555059
16777216,2,16,0.0510912101,1.5073690174,0.2745364058,0.0354770038,1.8775018498
16777216,2,64,0.0510687404,0.9892572521,0.3972042744,0.0245812714,1.4270190104
16777216,2,256,0.0511434607,0.6765282599,0.5171135819,0.0229317197,1.2227145798
16777216,2,1024,0.0510785506,0.6892793886,0.6299935565,0.0224791127,1.3469870736
16777216,2,4096,0.0510858663,0.6825008574,0.7444583165,0.0223864156,1.4536496311
16777216,2,16384,0.0510998261,0.6736108940,0.8610037527,0.0223315199,1.5608872717
16777216,2,65536,0.0511182743,0.7162505182,0.9799855453,0.0223245364,1.7224791835
16777216,4,16,0.0258670826,0.9884814161,0.1403618923,0.0225579875,1.2092404844
16777216,4,64,0.0256272693,0.5133117663,0.1980663934,0.0128332867,0.7431980161
16777216,4,256,0.0257975559,0.8217956846,0.2585429601,0.0119839652,1.1003442566
16777216,4,1024,0.0256614614,0.4061654503,0.3155933714,0.0113490571,0.7383218492
16777216,4,4096,0.0259040306,0.8028886453,0.3754580834,0.0115983354,1.1947322408
16777216,4,16384,0.0260439620,0.8364268644,0.4335787300,0.0116020878,1.2860547843
16777216,4,65536,0.0259334189,1.0232733769,0.4905230444,0.0115160989,1.5297107954
16777216,8,16,0.0130816215,0.5444867905,0.0705040936,0.0141012872,0.6819283434
16777216,8,64,0.0130540419,0.5630659890,0.0994922855,0.0071575932,0.6922081480
16777216,8,256,0.0130783817,0.5270891428,0.1296405518,0.0061889657,0.6715915048
16777216,8,1024,0.0130653960,0.5260595036,0.1580118355,0.0059377404,0.6959595676
16777216,8,4096,0.0131189000,0.5477007031,0.1867924984,0.0058450829,0.7451553017
16777216,8,16384,0.0130601128,0.6153089191,0.2160673245,0.0058435282,0.8416223088
